YEAR,2 digit,3 digit,INDUSTRY_CODE,NAICS_TITLE,AVG_WAGE,Industry based on USCIS
2012,52,521,521000,Monetary Authorities-Central Bank,80372.94521,Finance and Insurance
2012,21,211,211000,Oil and Gas Extraction,77900.53824,"Mining, Quarrying, and Oil and Gas Extraction"
2012,48,486,486000,Pipeline Transportation,76876.04651,Transportation and Warehousing
2012,52,523,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",73489.19614,Finance and Insurance
2012,32,324,324000,Petroleum and Coal Products Manufacturing,73021.93038,Manufacturing
2012,49,491,491000,Postal Service,72112.01646,Transportation and Warehousing
2012,52,525,525000,"Funds, Trusts, and Other Financial Vehicles",70858.37838,Finance and Insurance
2012,22,221,221000,Utilities,68529.39453,Utilities
2012,51,519,519000,Other Information Services,68079.03125,Information
2012,51,517,517000,Telecommunications,66108.34688,Information
2012,53,533,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),64707.9096,Real Estate and Rental and Leasing
2012,51,518,518000,"Data Processing, Hosting, and Related Services",64472.45283,Information
2012,48,482,482000,Rail Transportation,63191.94286,Transportation and Warehousing
2012,48,483,483000,Water Transportation,63153.64035,Transportation and Warehousing
2012,33,334,334000,Computer and Electronic Product Manufacturing,63104.10959,Manufacturing
2012,52,524,524000,Insurance Carriers and Related Activities,62902.82744,Finance and Insurance
2012,51,515,515000,Broadcasting (except Internet),62362.0922,Information
2012,21,213,213000,Support Activities for Mining,62083.82653,"Mining, Quarrying, and Oil and Gas Extraction"
2012,48,481,481000,Air Transportation,61089.47368,Transportation and Warehousing
2012,32,325,325000,Chemical Manufacturing,61019.52727,Manufacturing
2012,51,511,511000,Publishing Industries (except Internet),60172.36585,Information
2012,49,492,492000,Couriers and Messengers,59574.32558,Transportation and Warehousing
2012,51,512,512000,Motion Picture and Sound Recording Industries,59434.67647,Information
2012,33,336,336000,Transportation Equipment Manufacturing,59410.03534,Manufacturing
2012,52,522,522000,Credit Intermediation and Related Activities,59396.77871,Finance and Insurance
2012,33,335,335000,"Electrical Equipment, Appliance, and Component Manufacturing",58770.09732,Manufacturing
2012,55,551,551000,Management of Companies and Enterprises,58142.45763,Management of Companies and Enterprises
2012,54,541,541000,"Professional, Scientific, and Technical Services",57784.63074,"Professional, Scientific, and Technical Services"
2012,42,425,425000,Wholesale Electronic Markets and Agents and Brokers,57176.04736,Wholesale Trade
2012,56,562,562000,Waste Management and Remediation Services,56995.50239,Administrative and Support and Waste Management and Remediation Services
2012,32,322,322000,Paper Manufacturing,56874.49468,Manufacturing
2012,33,333,333000,Machinery Manufacturing,56734.93097,Manufacturing
2012,21,212,212000,Mining (except Oil and Gas),56620.21622,"Mining, Quarrying, and Oil and Gas Extraction"
2012,62,621,621000,Ambulatory Health Care Services,55946.89051,Health Care and Social Assistance
2012,62,622,622000,Hospitals,55171.62129,Health Care and Social Assistance
2012,33,331,331000,Primary Metal Manufacturing,54970.54688,Manufacturing
2012,99,999,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",54841.70325,
2012,33,339,339000,Miscellaneous Manufacturing,54669.66165,Manufacturing
2012,23,236,236000,Construction of Buildings,54214.60829,Construction
2012,44,443,443000,Electronics and Appliance Stores,53565.17857,Retail Trade
2012,42,424,424000,"Merchant Wholesalers, Nondurable Goods",53013.76702,Wholesale Trade
2012,23,237,237000,Heavy and Civil Engineering Construction,52806.80162,Construction
2012,61,611,611000,Educational Services,52559.00469,Educational Services
2012,33,332,332000,Fabricated Metal Product Manufacturing,52509.00952,Manufacturing
2012,31,315,315000,Apparel Manufacturing,52396.61017,Manufacturing
2012,48,488,488000,Support Activities for Transportation,52329.44215,Transportation and Warehousing
2012,42,423,423000,"Merchant Wholesalers, Durable Goods",51969.05738,Wholesale Trade
2012,31,312,312000,Beverage and Tobacco Product Manufacturing,51786.35542,Manufacturing
2012,32,326,326000,Plastics and Rubber Products Manufacturing,51454.27184,Manufacturing
2012,45,454,454000,Nonstore Retailers,51276.09705,Retail Trade
2012,32,323,323000,Printing and Related Support Activities,50849.7929,Manufacturing
2012,32,327,327000,Nonmetallic Mineral Product Manufacturing,50241.49367,Manufacturing
2012,31,313,313000,Textile Mills,49853.60515,Manufacturing
2012,49,493,493000,Warehousing and Storage,49382.00514,Transportation and Warehousing
2012,23,238,238000,Specialty Trade Contractors,49308.48101,Construction
2012,81,813,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",49241.91761,Other Services (except Public Administration)
2012,31,311,311000,Food Manufacturing,49011.00569,Manufacturing
2012,53,532,532000,Rental and Leasing Services,48707.55708,Real Estate and Rental and Leasing
2012,31,316,316000,Leather and Allied Product Manufacturing,48620.10695,Manufacturing
2012,53,531,531000,Real Estate,48606.28405,Real Estate and Rental and Leasing
2012,71,711,711000,"Performing Arts, Spectator Sports, and Related Industries",48562.87785,"Arts, Entertainment, and Recreation"
2012,33,337,337000,Furniture and Related Product Manufacturing,47508.23034,Manufacturing
2012,56,561,561000,Administrative and Support Services,47285.53818,Administrative and Support and Waste Management and Remediation Services
2012,81,811,811000,Repair and Maintenance,47216.72032,Other Services (except Public Administration)
2012,48,484,484000,Truck Transportation,46791.8314,Transportation and Warehousing
2012,48,485,485000,Transit and Ground Passenger Transportation,46400.78189,Transportation and Warehousing
2012,31,314,314000,Textile Product Mills,46317.8481,Manufacturing
2012,44,441,441000,Motor Vehicle and Parts Dealers,46137.68786,Retail Trade
2012,44,446,446000,Health and Personal Care Stores,45557.94702,Retail Trade
2012,32,321,321000,Wood Product Manufacturing,45074.50425,Manufacturing
2012,71,712,712000,"Museums, Historical Sites, and Similar Institutions",45014.71698,"Arts, Entertainment, and Recreation"
2012,44,448,448000,Clothing and Clothing Accessories Stores,44076.97479,Retail Trade
2012,62,623,623000,Nursing and Residential Care Facilities,43959.6699,Health Care and Social Assistance
2012,11,115,115000,Support Activities for Agriculture and Forestry,43749.7482,"Agriculture, Forestry, Fishing and Hunting"
2012,71,713,713000,"Amusement, Gambling, and Recreation Industries",43691.10544,"Arts, Entertainment, and Recreation"
2012,11,113,113000,Forestry and Logging,42956.42276,"Agriculture, Forestry, Fishing and Hunting"
2012,44,442,442000,Furniture and Home Furnishings Stores,42349.19355,Retail Trade
2012,62,624,624000,Social Assistance,42318.04916,Health Care and Social Assistance
2012,72,721,721000,Accommodation,41642.64822,Accommodation and Food Services
2012,44,444,444000,Building Material and Garden Equipment and Supplies Dealers,40908.54839,Retail Trade
2012,81,812,812000,Personal and Laundry Services,40475.74324,Other Services (except Public Administration)
2012,48,487,487000,Scenic and Sightseeing Transportation,39770.5,Transportation and Warehousing
2012,45,452,452000,General Merchandise Stores,39480.66869,Retail Trade
2012,45,453,453000,Miscellaneous Store Retailers,38148.42105,Retail Trade
2012,44,445,445000,Food and Beverage Stores,36725.63422,Retail Trade
2012,45,451,451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",36405.33569,Retail Trade
2012,72,722,722000,Food Services and Drinking Places,36150.65831,Accommodation and Food Services
2012,44,447,447000,Gasoline Stations,34677.5,Retail Trade
2013,52,521,521000,Monetary Authorities-Central Bank,84169.26471,Finance and Insurance
2013,21,211,211000,Oil and Gas Extraction,80602.03252,"Mining, Quarrying, and Oil and Gas Extraction"
2013,48,486,486000,Pipeline Transportation,77635.72491,Transportation and Warehousing
2013,52,523,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",76296.21359,Finance and Insurance
2013,32,324,324000,Petroleum and Coal Products Manufacturing,75491.87879,Manufacturing
2013,52,525,525000,"Funds, Trusts, and Other Financial Vehicles",72959.26667,Finance and Insurance
2013,49,491,491000,Postal Service,72152.5,Transportation and Warehousing
2013,51,519,519000,Other Information Services,70677.24638,Information
2013,22,221,221000,Utilities,69904.14397,Utilities
2013,51,517,517000,Telecommunications,67967.2191,Information
2013,53,533,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),66836.83333,Real Estate and Rental and Leasing
2013,33,334,334000,Computer and Electronic Product Manufacturing,65750.47059,Manufacturing
2013,51,518,518000,"Data Processing, Hosting, and Related Services",65664.8503,Information
2013,48,482,482000,Rail Transportation,65222.52226,Transportation and Warehousing
2013,21,213,213000,Support Activities for Mining,64770.29703,"Mining, Quarrying, and Oil and Gas Extraction"
2013,48,483,483000,Water Transportation,64742.31092,Transportation and Warehousing
2013,51,515,515000,Broadcasting (except Internet),63967.1831,Information
2013,52,524,524000,Insurance Carriers and Related Activities,63497.68595,Finance and Insurance
2013,51,511,511000,Publishing Industries (except Internet),62688.11594,Information
2013,48,481,481000,Air Transportation,61887.75811,Transportation and Warehousing
2013,49,492,492000,Couriers and Messengers,61864.14141,Transportation and Warehousing
2013,52,522,522000,Credit Intermediation and Related Activities,61578.97727,Finance and Insurance
2013,32,325,325000,Chemical Manufacturing,61192.82609,Manufacturing
2013,33,336,336000,Transportation Equipment Manufacturing,60807.61484,Manufacturing
2013,56,562,562000,Waste Management and Remediation Services,59339.28747,Administrative and Support and Waste Management and Remediation Services
2013,42,425,425000,Wholesale Electronic Markets and Agents and Brokers,59175.1577,Wholesale Trade
2013,33,335,335000,"Electrical Equipment, Appliance, and Component Manufacturing",58963.92683,Manufacturing
2013,21,212,212000,Mining (except Oil and Gas),58788.15934,"Mining, Quarrying, and Oil and Gas Extraction"
2013,51,512,512000,Motion Picture and Sound Recording Industries,58712.43827,Information
2013,55,551,551000,Management of Companies and Enterprises,58539.6462,Management of Companies and Enterprises
2013,62,621,621000,Ambulatory Health Care Services,58272.15007,Health Care and Social Assistance
2013,54,541,541000,"Professional, Scientific, and Technical Services",58191.90058,"Professional, Scientific, and Technical Services"
2013,32,322,322000,Paper Manufacturing,57998.52941,Manufacturing
2013,33,333,333000,Machinery Manufacturing,57679.06615,Manufacturing
2013,62,622,622000,Hospitals,56364.79115,Health Care and Social Assistance
2013,33,339,339000,Miscellaneous Manufacturing,56177.91897,Manufacturing
2013,23,236,236000,Construction of Buildings,55218.16471,Construction
2013,99,999,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",55152.76817,
2013,23,237,237000,Heavy and Civil Engineering Construction,55114.46764,Construction
2013,33,331,331000,Primary Metal Manufacturing,54796.41975,Manufacturing
2013,31,312,312000,Beverage and Tobacco Product Manufacturing,54677.02065,Manufacturing
2013,42,424,424000,"Merchant Wholesalers, Nondurable Goods",53462.95522,Wholesale Trade
2013,33,332,332000,Fabricated Metal Product Manufacturing,53017.78218,Manufacturing
2013,61,611,611000,Educational Services,52987.06717,Educational Services
2013,31,315,315000,Apparel Manufacturing,52772.51101,Manufacturing
2013,48,488,488000,Support Activities for Transportation,52564.70226,Transportation and Warehousing
2013,44,443,443000,Electronics and Appliance Stores,52276.97761,Retail Trade
2013,32,326,326000,Plastics and Rubber Products Manufacturing,52207.63723,Manufacturing
2013,42,423,423000,"Merchant Wholesalers, Durable Goods",51747.7628,Wholesale Trade
2013,71,711,711000,"Performing Arts, Spectator Sports, and Related Industries",51657.96813,"Arts, Entertainment, and Recreation"
2013,45,454,454000,Nonstore Retailers,51655.72917,Retail Trade
2013,32,323,323000,Printing and Related Support Activities,51327.74194,Manufacturing
2013,31,313,313000,Textile Mills,51162.13675,Manufacturing
2013,81,813,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",50738.27247,Other Services (except Public Administration)
2013,31,316,316000,Leather and Allied Product Manufacturing,50586.77419,Manufacturing
2013,32,327,327000,Nonmetallic Mineral Product Manufacturing,50326.91729,Manufacturing
2013,33,337,337000,Furniture and Related Product Manufacturing,49782.71003,Manufacturing
2013,23,238,238000,Specialty Trade Contractors,49739.08592,Construction
2013,31,311,311000,Food Manufacturing,49711.34357,Manufacturing
2013,53,532,532000,Rental and Leasing Services,49429.52915,Real Estate and Rental and Leasing
2013,49,493,493000,Warehousing and Storage,49387.57106,Transportation and Warehousing
2013,53,531,531000,Real Estate,49099.30966,Real Estate and Rental and Leasing
2013,56,561,561000,Administrative and Support Services,48628.14612,Administrative and Support and Waste Management and Remediation Services
2013,81,811,811000,Repair and Maintenance,48111.58635,Other Services (except Public Administration)
2013,48,484,484000,Truck Transportation,47570.05731,Transportation and Warehousing
2013,44,446,446000,Health and Personal Care Stores,47303.30218,Retail Trade
2013,48,485,485000,Transit and Ground Passenger Transportation,47076.48536,Transportation and Warehousing
2013,31,314,314000,Textile Product Mills,46794.85106,Manufacturing
2013,32,321,321000,Wood Product Manufacturing,46020.40984,Manufacturing
2013,71,712,712000,"Museums, Historical Sites, and Similar Institutions",45520.54245,"Arts, Entertainment, and Recreation"
2013,44,441,441000,Motor Vehicle and Parts Dealers,45493.66864,Retail Trade
2013,44,448,448000,Clothing and Clothing Accessories Stores,44666.18257,Retail Trade
2013,62,623,623000,Nursing and Residential Care Facilities,44421.59309,Health Care and Social Assistance
2013,11,115,115000,Support Activities for Agriculture and Forestry,43866.08209,"Agriculture, Forestry, Fishing and Hunting"
2013,71,713,713000,"Amusement, Gambling, and Recreation Industries",43714.70486,"Arts, Entertainment, and Recreation"
2013,72,721,721000,Accommodation,43356.86391,Accommodation and Food Services
2013,44,442,442000,Furniture and Home Furnishings Stores,42850.16835,Retail Trade
2013,62,624,624000,Social Assistance,42503.37942,Health Care and Social Assistance
2013,11,113,113000,Forestry and Logging,42018.76106,"Agriculture, Forestry, Fishing and Hunting"
2013,44,444,444000,Building Material and Garden Equipment and Supplies Dealers,41102.52874,Retail Trade
2013,81,812,812000,Personal and Laundry Services,40856.44944,Other Services (except Public Administration)
2013,48,487,487000,Scenic and Sightseeing Transportation,40303.31658,Transportation and Warehousing
2013,45,452,452000,General Merchandise Stores,39710.53512,Retail Trade
2013,45,453,453000,Miscellaneous Store Retailers,39001.48459,Retail Trade
2013,72,722,722000,Food Services and Drinking Places,37975.18634,Accommodation and Food Services
2013,44,445,445000,Food and Beverage Stores,37649.79592,Retail Trade
2013,45,451,451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",35510,Retail Trade
2013,44,447,447000,Gasoline Stations,35360.6044,Retail Trade
2014,52,521,521000,Monetary Authorities-Central Bank,84476.5493,Finance and Insurance
2014,21,211,211000,Oil and Gas Extraction,80778.40206,"Mining, Quarrying, and Oil and Gas Extraction"
2014,48,486,486000,Pipeline Transportation,79504.67626,Transportation and Warehousing
2014,52,525,525000,"Funds, Trusts, and Other Financial Vehicles",77942.76923,Finance and Insurance
2014,52,523,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",77220.15291,Finance and Insurance
2014,32,324,324000,Petroleum and Coal Products Manufacturing,73747.39255,Manufacturing
2014,49,491,491000,Postal Service,73259.53586,Transportation and Warehousing
2014,51,519,519000,Other Information Services,73219.22388,Information
2014,22,221,221000,Utilities,71696.62264,Utilities
2014,51,517,517000,Telecommunications,70498.25843,Information
2014,48,482,482000,Rail Transportation,67910.9621,Transportation and Warehousing
2014,33,334,334000,Computer and Electronic Product Manufacturing,67583.55899,Manufacturing
2014,53,533,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),67358.47458,Real Estate and Rental and Leasing
2014,51,518,518000,"Data Processing, Hosting, and Related Services",66319.45687,Information
2014,21,213,213000,Support Activities for Mining,66098.83886,"Mining, Quarrying, and Oil and Gas Extraction"
2014,51,515,515000,Broadcasting (except Internet),65380.9375,Information
2014,52,524,524000,Insurance Carriers and Related Activities,64663.62887,Finance and Insurance
2014,32,325,325000,Chemical Manufacturing,64470.74349,Manufacturing
2014,51,511,511000,Publishing Industries (except Internet),64212.78177,Information
2014,52,522,522000,Credit Intermediation and Related Activities,63591.55125,Finance and Insurance
2014,48,483,483000,Water Transportation,63542.2619,Transportation and Warehousing
2014,48,481,481000,Air Transportation,63432.16463,Transportation and Warehousing
2014,49,492,492000,Couriers and Messengers,63194.97297,Transportation and Warehousing
2014,33,336,336000,Transportation Equipment Manufacturing,62949.17733,Manufacturing
2014,32,322,322000,Paper Manufacturing,60320.8311,Manufacturing
2014,55,551,551000,Management of Companies and Enterprises,60171.60955,Management of Companies and Enterprises
2014,21,212,212000,Mining (except Oil and Gas),60068.21918,"Mining, Quarrying, and Oil and Gas Extraction"
2014,42,425,425000,Wholesale Electronic Markets and Agents and Brokers,59699.41281,Wholesale Trade
2014,54,541,541000,"Professional, Scientific, and Technical Services",59486.16877,"Professional, Scientific, and Technical Services"
2014,56,562,562000,Waste Management and Remediation Services,59466.60241,Administrative and Support and Waste Management and Remediation Services
2014,51,512,512000,Motion Picture and Sound Recording Industries,58856.85015,Information
2014,33,335,335000,"Electrical Equipment, Appliance, and Component Manufacturing",58819.61538,Manufacturing
2014,33,333,333000,Machinery Manufacturing,58662.62664,Manufacturing
2014,62,621,621000,Ambulatory Health Care Services,58406.52555,Health Care and Social Assistance
2014,62,622,622000,Hospitals,57916.89139,Health Care and Social Assistance
2014,99,999,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",56784.79239,
2014,23,236,236000,Construction of Buildings,55771.57773,Construction
2014,23,237,237000,Heavy and Civil Engineering Construction,55717.53564,Construction
2014,33,339,339000,Miscellaneous Manufacturing,55634.21903,Manufacturing
2014,33,331,331000,Primary Metal Manufacturing,54749.73236,Manufacturing
2014,31,312,312000,Beverage and Tobacco Product Manufacturing,54327.06231,Manufacturing
2014,42,424,424000,"Merchant Wholesalers, Nondurable Goods",54200.37651,Wholesale Trade
2014,31,315,315000,Apparel Manufacturing,53942.79661,Manufacturing
2014,48,488,488000,Support Activities for Transportation,53892.26069,Transportation and Warehousing
2014,33,332,332000,Fabricated Metal Product Manufacturing,53799.16988,Manufacturing
2014,61,611,611000,Educational Services,53615.00954,Educational Services
2014,42,423,423000,"Merchant Wholesalers, Durable Goods",53170.94467,Wholesale Trade
2014,32,326,326000,Plastics and Rubber Products Manufacturing,52575.67696,Manufacturing
2014,71,711,711000,"Performing Arts, Spectator Sports, and Related Industries",52327.53846,"Arts, Entertainment, and Recreation"
2014,32,323,323000,Printing and Related Support Activities,52186.0479,Manufacturing
2014,45,454,454000,Nonstore Retailers,51826.8,Retail Trade
2014,44,443,443000,Electronics and Appliance Stores,51626.92607,Retail Trade
2014,31,313,313000,Textile Mills,51528.60169,Manufacturing
2014,32,327,327000,Nonmetallic Mineral Product Manufacturing,51484.36409,Manufacturing
2014,81,813,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",51477.36994,Other Services (except Public Administration)
2014,49,493,493000,Warehousing and Storage,51249.01554,Transportation and Warehousing
2014,53,531,531000,Real Estate,50948.94632,Real Estate and Rental and Leasing
2014,23,238,238000,Specialty Trade Contractors,50823.93382,Construction
2014,53,532,532000,Rental and Leasing Services,50459.91471,Real Estate and Rental and Leasing
2014,31,311,311000,Food Manufacturing,50397.51434,Manufacturing
2014,31,316,316000,Leather and Allied Product Manufacturing,50211.45251,Manufacturing
2014,48,484,484000,Truck Transportation,49785.35613,Transportation and Warehousing
2014,33,337,337000,Furniture and Related Product Manufacturing,49781.48571,Manufacturing
2014,56,561,561000,Administrative and Support Services,49486.68519,Administrative and Support and Waste Management and Remediation Services
2014,81,811,811000,Repair and Maintenance,49429.05222,Other Services (except Public Administration)
2014,44,446,446000,Health and Personal Care Stores,48103.42593,Retail Trade
2014,31,314,314000,Textile Product Mills,48056.28,Manufacturing
2014,44,441,441000,Motor Vehicle and Parts Dealers,47275.30899,Retail Trade
2014,32,321,321000,Wood Product Manufacturing,46976.0452,Manufacturing
2014,44,448,448000,Clothing and Clothing Accessories Stores,46942.85714,Retail Trade
2014,48,485,485000,Transit and Ground Passenger Transportation,45990.04167,Transportation and Warehousing
2014,11,115,115000,Support Activities for Agriculture and Forestry,45746.15079,"Agriculture, Forestry, Fishing and Hunting"
2014,62,623,623000,Nursing and Residential Care Facilities,45583.86275,Health Care and Social Assistance
2014,71,712,712000,"Museums, Historical Sites, and Similar Institutions",45208.66667,"Arts, Entertainment, and Recreation"
2014,72,721,721000,Accommodation,44335.44762,Accommodation and Food Services
2014,71,713,713000,"Amusement, Gambling, and Recreation Industries",44250.1692,"Arts, Entertainment, and Recreation"
2014,44,442,442000,Furniture and Home Furnishings Stores,44034.07895,Retail Trade
2014,62,624,624000,Social Assistance,43783.38415,Health Care and Social Assistance
2014,11,113,113000,Forestry and Logging,43211.92661,"Agriculture, Forestry, Fishing and Hunting"
2014,81,812,812000,Personal and Laundry Services,42809.46352,Other Services (except Public Administration)
2014,44,444,444000,Building Material and Garden Equipment and Supplies Dealers,42156.81319,Retail Trade
2014,48,487,487000,Scenic and Sightseeing Transportation,41093.28205,Transportation and Warehousing
2014,45,453,453000,Miscellaneous Store Retailers,40696.45161,Retail Trade
2014,45,452,452000,General Merchandise Stores,40131.80887,Retail Trade
2014,72,722,722000,Food Services and Drinking Places,38947.59146,Accommodation and Food Services
2014,44,445,445000,Food and Beverage Stores,38516.97885,Retail Trade
2014,44,447,447000,Gasoline Stations,37272.71277,Retail Trade
2014,45,451,451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",34267.94118,Retail Trade
